relational_fraction,ratio,seed,detected_pair,routing_correct,kurtosis_dev_true_pair,kurtosis_dev_strongest_competitor,oracle_ari_on_detected_pair
0.04,4.0,5012,"feature_3,feature_4",True,158.6685253234662,10.771443010567465,1.0
0.04,4.0,5013,"feature_3,feature_4",True,173.94754324085736,10.99344941980227,1.0
0.04,4.0,5014,"feature_3,feature_4",True,162.63203044511954,10.86756493227946,1.0
0.08,1.2,5000,"feature_3,feature_4",True,18.343115748149312,10.967624785322846,0.7642197688249619
0.08,1.2,5001,"feature_3,feature_4",True,18.395503837189942,10.791497438331232,0.7096506338539897
0.08,1.2,5002,"feature_3,feature_4",True,17.425521655073425,10.773163359807189,0.6864337282795552
0.08,1.2,5003,"feature_3,feature_4",True,19.177475726197454,10.685775755076902,0.6939346077378408
0.08,1.2,5004,"feature_3,feature_4",True,18.27877470870465,10.75250720074537,0.733018135572691
0.08,1.2,5005,"feature_3,feature_4",True,18.115307788596375,10.78749848691908,0.7018949324242597
0.08,1.2,5006,"feature_3,feature_4",True,18.53516072097561,11.065632029589496,0.7960677213056421
0.08,1.2,5007,"feature_3,feature_4",True,19.743951154583375,11.17929714678582,0.7383392731432594
0.08,1.2,5008,"feature_3,feature_4",True,18.609975478738654,10.940848867618154,0.6939346077378408
0.08,1.2,5009,"feature_3,feature_4",True,19.745153733855897,10.843637932042895,0.7802049274428932
0.08,1.2,5010,"feature_3,feature_4",True,19.386956052599622,11.07879771847103,0.7408407686220951
0.08,1.2,5011,"feature_3,feature_4",True,17.445817645302732,10.948295450566802,0.7457722733307317
0.08,1.2,5012,"feature_3,feature_4",True,18.06832522164475,10.771443010567465,0.7408407686220951
0.08,1.2,5013,"feature_3,feature_4",True,19.491883548157265,10.99344941980227,0.7532212070663015
0.08,1.2,5014,"feature_3,feature_4",True,18.232411812676624,10.86756493227946,0.7358433257135033
0.08,1.6,5000,"feature_3,feature_4",True,28.39131075119534,10.967624785322846,0.8521145863301961
0.08,1.6,5001,"feature_3,feature_4",True,28.356860667470087,10.791497438331232,0.8040242175943942
0.08,1.6,5002,"feature_3,feature_4",True,26.810612508671447,10.773163359807189,0.7856619470022631
0.08,1.6,5003,"feature_3,feature_4",True,29.643672877735057,10.685775755076902,0.7960677213056421
0.08,1.6,5004,"feature_3,feature_4",True,28.249896991515765,10.75250720074537,0.7982494139897668
0.08,1.6,5005,"feature_3,feature_4",True,28.0748458416872,10.78749848691908,0.7907048789656123
0.08,1.6,5006,"feature_3,feature_4",True,28.468235265695238,11.065632029589496,0.8515072985055783
0.08,1.6,5007,"feature_3,feature_4",True,30.660235945802977,11.17929714678582,0.8285868895673599
0.08,1.6,5008,"feature_3,feature_4",True,28.781998858922364,10.940848867618154,0.7907048789656123
0.08,1.6,5009,"feature_3,feature_4",True,30.949820644964323,10.843637932042895,0.8682785724814781
0.08,1.6,5010,"feature_3,feature_4",True,30.115801457068116,11.07879771847103,0.8515072985055783
0.08,1.6,5011,"feature_3,feature_4",True,27.023443231269034,10.948295450566802,0.8438512286447414
0.08,1.6,5012,"feature_3,feature_4",True,28.05261174620965,10.771443010567465,0.8438512286447414
0.08,1.6,5013,"feature_3,feature_4",True,30.28828857628288,10.99344941980227,0.8440576926119328
0.08,1.6,5014,"feature_3,feature_4",True,28.242806842677165,10.86756493227946,0.8285868895673599
0.08,2.3,5000,"feature_3,feature_4",True,56.74163471498309,10.967624785322846,0.9446229535872244
0.08,2.3,5001,"feature_3,feature_4",True,56.75894607436918,10.791497438331232,0.9367756811492177
