relational_fraction,ratio,seed,ari_A,ari_B,ari_C,silhouette,epsilon,rho_B,observed_evr_error,theorem1_bound_evr,theorem1_holds
0.04,2.3,3006,0.0941561387709936,0.03326048792128494,-0.00029652164396082336,0.33943765221982164,0.06286084923658654,0.2745148206413839,0.008165158566323183,0.056574764312927885,True
0.04,2.3,3007,0.047325413570851876,0.03262077806889811,-0.00016126802352403648,0.3244244620114066,0.04387543432769067,0.2658609413591277,0.006348599750081374,0.03948789089492161,True
0.04,2.3,3008,0.050991059781674355,0.025030620363674268,0.002796989625866515,0.3216573890143014,0.05795364488823117,0.2595837995894164,0.010523963809255955,0.05215828039940805,True
0.04,2.3,3009,0.1169737513218156,0.029856675231828136,0.0014502158360504389,0.32778625740100054,0.05286004943297852,0.27280353612269354,0.00627006433174857,0.04757404448968067,True
0.04,2.3,3010,0.12749345373694324,0.027547231173377356,-0.0015520007584161628,0.32653819869276984,0.06842264982582308,0.24215038763591254,0.010389334581114384,0.06158038484324078,True
0.04,2.3,3011,0.011004020361440962,0.03380341732285071,-0.0005957132525219451,0.3259068076944785,0.06876205436111595,0.2901378983671567,0.009928461587745897,0.06188584892500435,True
0.04,2.3,3012,0.004337292344508293,0.02104202276019646,0.0005521611731778694,0.31189155189343387,0.07443269933107918,0.2514853266233201,0.008227385766594675,0.06698942939797127,True
0.04,2.3,3013,0.07770574738630015,0.02558282302957046,0.0012452250170764503,0.3253533808286251,0.06337219073314436,0.3036807958304916,0.007524991901100131,0.057034971659829924,True
0.04,2.3,3014,0.0815053893466421,0.041019544299479425,0.0021420891021047307,0.3266389160597024,0.05123781664181414,0.2837603024864627,0.006533687649224684,0.04611403497763273,True
0.04,3.0,3000,0.10181423287876645,0.04595194549879202,-0.0029610570677082,0.34568929683998645,0.04586363150362646,0.2951529580286955,0.0069149270605492474,0.04127726835326382,True
0.04,3.0,3001,0.07720846389893872,0.04219825139891034,0.002360039814261651,0.3347321271604537,0.04991909517379886,0.31133934830919097,0.005406590816462942,0.044927185656418976,True
0.04,3.0,3002,0.09327766137159392,0.04484543425942908,-0.0010627619906098912,0.34591051510285764,0.0695669591011935,0.31599583327108166,0.009996964079579663,0.06261026319107414,True
0.04,3.0,3003,0.11911583452407751,0.03753961072828711,0.0013993000219735571,0.3446477446775368,0.05980871866842713,0.28021304531120117,0.008535545329169026,0.05382784680158441,True
0.04,3.0,3004,0.10922426803059286,0.032738418675634165,-0.0009994646200412625,0.3265363337511899,0.05705302634052358,0.26185968029236867,0.008919111770341848,0.05134772370647123,True
0.04,3.0,3005,0.08329979245342946,0.05023006315275929,0.002612470144733761,0.3351131880896427,0.05790895706541919,0.3156517041221381,0.008254923542589476,0.05211806135887727,True
0.04,3.0,3006,0.09486155466816855,0.04868159052688326,-0.0009447534059242368,0.3476242915846162,0.06286084923658654,0.30680844611412955,0.00814554459051502,0.056574764312927885,True
0.04,3.0,3007,0.04908688872574076,0.05257853777497699,0.0018774142508425525,0.3416952796212255,0.04387543432769067,0.30278479666014174,0.006318575438608276,0.03948789089492161,True
0.04,3.0,3008,0.0567489783856604,0.05624271098373803,0.002853110334709925,0.34943622540070374,0.05795364488823117,0.29456204965729166,0.01042531918244618,0.05215828039940805,True
0.04,3.0,3009,0.1288775287418115,0.0578648062606619,0.0053209667267067814,0.34809146105025424,0.05286004943297852,0.306191950959673,0.006241892045572506,0.04757404448968067,True
0.04,3.0,3010,0.13238871395802562,0.044862243566732386,-0.002818136513518549,0.3412306838320083,0.06842264982582308,0.27842240122664424,0.010301850296084292,0.06158038484324078,True
0.04,3.0,3011,0.00832167306890846,0.05384533200201677,0.0004289730268557473,0.33865635801659005,0.06876205436111595,0.32359153096353577,0.00992655791666508,0.06188584892500435,True
0.04,3.0,3012,0.00710692216873552,0.04726574006808779,0.0027490240848178603,0.330566345819622,0.07443269933107918,0.2867598369230245,0.008283978180081041,0.06698942939797127,True
0.04,3.0,3013,0.08632494932721517,0.053236189184363104,-0.0011025175476786825,0.34455486437358146,0.06337219073314436,0.33356156020859623,0.00752586697758052,0.057034971659829924,True
0.04,3.0,3014,0.08331374537334747,0.05526768716186743,0.0015419104047951911,0.3318268572943515,0.055219975406257796,0.31663616958943314,0.006565683604223294,0.049697977865632015,True
0.04,4.0,3000,0.11150245486122771,0.06455167794345963,-0.0019867875728732474,0.3536069077605765,0.04586363150362646,0.3251389856131255,0.006906944941348159,0.04127726835326382,True
0.04,4.0,3001,0.08604218209737274,0.052180336358441645,0.0005136656708350264,0.34473243054937697,0.04991909517379886,0.3388580471700207,0.005456570543002204,0.044927185656418976,True
0.04,4.0,3002,0.0962120427662401,0.06199904309915921,0.005904175116228155,0.3463358079834384,0.0695669591011935,0.34407192777727197,0.009996796263239571,0.06261026319107414,True
0.04,4.0,3003,0.1317244681295804,0.06637764627175113,0.002188730400678486,0.3626379003983614,0.05980871866842713,0.31264611856040797,0.008537500044426638,0.05382784680158441,True
