seed,config,ari_k4,sil_k4
1020,A_plus_B,0.07969773977515095,0.37142316448569374
1020,A_plus_C,0.047432012069379643,0.3052011668899524
1020,A_plus_B_plus_C,0.07168091702557011,0.37014221947999304
1021,A_only,0.06439290629484219,0.3055557478516629
1021,A_plus_B,0.012739752605868009,0.3769301940763581
1021,A_plus_C,0.04385077591888081,0.3096570230596914
1021,A_plus_B_plus_C,0.008219786909826785,0.3683747596508185
1022,A_only,0.05365661984586316,0.31526660569602266
1022,A_plus_B,0.062131405550672474,0.3779006252756373
1022,A_plus_C,0.02106994369059428,0.3152699566963092
1022,A_plus_B_plus_C,0.0815195117505565,0.3714808983053035
1023,A_only,0.0778110444095152,0.3237307213510033
1023,A_plus_B,0.07859906997261884,0.3630935403805761
1023,A_plus_C,0.08466050706021493,0.31617870176180257
1023,A_plus_B_plus_C,0.04414641662321214,0.3695145233111126
1024,A_only,0.09150285324535846,0.30848503686385287
1024,A_plus_B,0.07416124523386124,0.372422297083126
1024,A_plus_C,0.1638137059395044,0.3154865481828519
1024,A_plus_B_plus_C,0.029610965288788527,0.38382037238533767
1025,A_only,0.07377751403204441,0.309618398650817
1025,A_plus_B,0.06914910030447424,0.38178646873780636
1025,A_plus_C,0.04091617932201979,0.30125596239129904
1025,A_plus_B_plus_C,0.06669961094276995,0.3842355423097682
1026,A_only,0.09727811197482263,0.3132174622546975
1026,A_plus_B,0.05517574492733067,0.3774193137665573
1026,A_plus_C,0.08788872095002229,0.31503709358579046
1026,A_plus_B_plus_C,0.06834359615560824,0.372567859855376
1027,A_only,0.07872189398391073,0.31008541182767235
1027,A_plus_B,0.10682073055888207,0.3852128010614008
1027,A_plus_C,0.1139598368181116,0.31092227460010363
1027,A_plus_B_plus_C,0.11257669118127285,0.38528636647495573
1028,A_only,0.1700024187117389,0.30300578514580556
1028,A_plus_B,0.0578656093505025,0.3734391129880418
1028,A_plus_C,0.1564605256542999,0.3074952433275923
1028,A_plus_B_plus_C,0.044054165218710514,0.37656831856718015
1029,A_only,0.02950106258575129,0.3075439376007629
1029,A_plus_B,0.1394805487236358,0.3853887470888557
1029,A_plus_C,0.05172915873484926,0.3074888890881165
1029,A_plus_B_plus_C,0.09196003612110688,0.3773972922370335
1030,A_only,0.09957455541948976,0.3164803039554451
1030,A_plus_B,0.04276261745213314,0.3847270139532131
1030,A_plus_C,0.14250005476634328,0.31295733345610505
